Количество комнат,Площадь (м²),Этаж,Адрес,Цена ($),Цена (сом)
2,63.0,3,"Бишкек, Махатма Ганди - БЧК, баялинова 180/1",75000,6508500
2,55.0,3,"Бишкек, Старый аэропорт, Ажыбек Баатыра/Джунусалиева",104000,9025120
1,56.0,6,"Бишкек, Магистраль,  ул.Советская / Магистраль",84000,7289520
2,70.0,7,"Бишкек, Магистраль, Куттубаева/Южная Магистраль",109000,9459020
2,67.0,4,"Бишкек, Магистраль, Ч. Айтматова/Масалиева",105000,9111900
1,32.0,2,"Бишкек, Лебединовка",55000,4772900
3,148.0,8,"Бишкек, 5 м-н",195000,16922100
1,49.0,1,"Бишкек, Ден Сяопина - Фучика, Ильменская 19/Сельповская",50000,4339000
3,60.0,1,"Ошская область, Ош 1",65000,5640700
3,115.0,9,"Бишкек, Горького - Панфилова 1",215000,18657700
5,126.0,12,"Бишкек, Магистраль, просп. Айтматова / ул. Масалиева",228000,19785840
2,68.0,3,"Бишкек, Улан-2 м-н",85000,7376300
1,42.0,6,"Бишкек, Магистраль,  ул. Куттубаева, 15",69000,5987820
2,68.0,7,"Бишкек, Улан-2 м-н",75000,6508500
1,43.0,1,"Бишкек, Кок-Жар ж/м, Кулмурзаева 198",47500,4122050
5,126.0,12,"Бишкек, Магистраль, просп. Айтматова / ул. Масалиева",228000,19785840
2,64.0,11,"Бишкек, Достук, Жумабека/Шопокова",83200,7220096
1,54.2,15,"Бишкек, Магистраль",70460,6114519
1,33.04,2,"Иссык-Кульская область, Балыкчы, Калинина 35",29000,2516620
2,65.0,12,"Бишкек, 12 м-н, саякбая каралаева/алма атинка",86500,7506470
7,571.0,13,"Бишкек, АУЦА, АУЦА",656650,56984087
3,111.4,11,"Бишкек, Магистраль, Аалы Токомбаева",139000,12062420
3,68.0,2,"Бишкек, Аламедин-1 м-н",78500,6812230
3,93.4,9,"Бишкек, Сквер Тоголок Молдо, Чуйкова",180000,15620400
5,124.26,13,"Бишкек, Гагарина",130000,11281400
2,71.0,9,"Бишкек, Верхний Джал м-н, Джал-29 мкр, 45",91000,7888790
3,72.0,9,"Бишкек, Нижний Токольдош, Кийизбаева, 22",88000,7636640
2,76.0,10,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",173000,15012940
1,35.0,8,"Бишкек, 4 м-н",65000,5640700
2,53.0,7,"Бишкек, Молодая Гвардия",61500,5336970
2,90.5,12,"Бишкек, Магистраль, Байтик Баатыра/Южная Магистраль",145000,12583100
2,44.0,1,"Бишкек, Центральная мечеть",72500,6291550
1,53.0,5,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",55650,4829307
3,58.0,3,"Бишкек, 1000 мелочей, Огонбаева/Гоголя",92000,7983760
2,56.0,4,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",74500,6465110
2,60.0,12,"Бишкек, Золотой квадрат, Тыныстанова 94",155000,13450900
2,70.0,3,"Бишкек, Военторг, Токтогула/Тоголок Молдо",150000,13017000
1,49.0,2,"Бишкек, Кудайберген,  ул. Патриса Лумумбы",70000,6074600
2,32.0,1,"Бишкек, Таатан",50000,4339000
