Количество комнат,Площадь (м²),Адрес,Цена ($),Цена (сом)
6,250.0,"Бишкек, с. Верхний Орок, Багорная",270000,23430600
5,80.0,"Бишкек, Ак-Тилек ж/м, Чагая",116000,10066480
7,223.0,с. Беш-Кунгей,145000,12583100
3,97.0,с. Чок-Тал,155000,13450900
6,189.0,"Бишкек, Ак-Ордо ж/м",189000,16401420
3,85.0,"Бишкек, Джальская больница",230000,19959400
5,110.0,"Бишкек, Восточный автовокзал, Абдыкадырова, 62",75000,6508500
5,130.0,"Бишкек, Арча-Бешик ж/м, Кара-Кужур",176000,15273280
6,174.0,"Бишкек, Рабочий Городок, Р. Люксембург, 48",270000,23430600
5,75.0,"Бишкек, с. Маевка",130000,11281400
7,261.0,"Бишкек, Ден Сяопина - Фучика, 6",130000,11281400
7,172.0,"Бишкек, Ак-Ордо 3 ж/м",80000,6942400
5,99.0,"Бишкек, Советская - Щербакова",68500,5944430
7,282.0,"с. Новопокровка, Береговая, 23",200000,17356000
6,150.0,с. Байтик,250000,21695000
8,360.0,"Бишкек, с. Орто-Сай, Иманалиева, 186",200000,17356000
7,220.0,"Бишкек, Арча-Бешик ж/м, Шербет",349000,30286220
7,420.0,"Бишкек, Рухий Мурас ж/м",180000,15620400
7,236.5,"Бишкек, Алматинка - Магистраль, майрам, 2",400000,34712000
5,60.0,"Бишкек, Боталиева - Тулебердиева, Боталиева",150000,13017000
7,320.0,Оренбург г.,100000,8678000
6,120.0,"Бишкек, Рухий Мурас ж/м",165000,14318700
6,330.0,"Бишкек, Полицейский городок м-н",198500,17225830
6,160.0,"Бишкек, Лущихина - Льва Толстого",90000,7810200
3,58.0,"Бишкек, с. Новопавловка",60000,5206800
6,95.0,"Бишкек, Гагарина",130000,11281400
3,100.0,"Бишкек, Рабочий Городок",130000,11281400
3,61.0,"Бишкек, Ак-Ордо ж/м",58500,5076630
5,78.0,"Бишкек, Рабочий Городок, Алтымышева, 80",140000,12149200
6,160.0,"Бишкек, Ала-Тоо м-н",115000,9979700
6,130.0,"Бишкек, Алтын-Ордо ж/м",207000,17963460
6,400.0,с. Арашан,170000,14752600
5,118.0,"Бишкек, Лебединовка",128000,11107840
3,140.0,"Бишкек, Ахунбаева-Достоевского, Тынчтык",115000,9979700
7,160.0,"Бишкек, Ак-Ордо ж/м, Асман",175000,15186500
7,240.0,"Бишкек, Ак-Орго ж/м, Таттыбубу",295000,25600100
6,110.0,"Бишкек, Токольдош ж/м, Лев толстой",152000,13190560
5,90.0,"Бишкек, Чуй/Т.Айтматов",80000,6942400
5,90.0,с. Кара Джыгач,70000,6074600
7,165.0,Чолпон-Ата,190000,16488200
3,80.0,с. Кара-Ой,57000,4946460
3,130.0,"Бишкек, Ак-Ордо 3 ж/м",85000,7376300
5,260.0,с. Бостери,350000,30373000
5,88.0,"Бишкек, Киргизия 1 ж/м",185000,16054300
6,140.0,"Бишкек, с. Новопавловка",120000,10413600
5,74.0,"Бишкек, с. Новопавловка, Школьная, 1",115000,9979700
5,120.0,"Бишкек, Учкун ж/м",140000,12149200
5,85.0,"Бишкек, Западный автовокзал",88000,7636640
6,190.0,"Бишкек, Кок-Жар ж/м, арстанбап, 238",210000,18223800
3,60.0,"Бишкек, Кара-Жыгач ж/м, новая, 9",95000,8244100
3,117.0,"Бишкек, Красный Строитель ж/м",68000,5901040
5,60.0,"Бишкек, Красный Строитель ж/м",62000,5380360
7,170.0,"Бишкек, Киргизия 1 ж/м, Кожомкулова",680000,59010400
2,50.0,"Бишкек, с. Кок-Джар",153000,13277340
6,130.0,"Бишкек, Старый толчок, молодая гвардия",140000,12149200
7,190.0,"Бишкек, Баха",245000,21261100
5,135.5,"Бишкек, с. Кок-Джар",251000,21781780
3,100.0,"с. Арашан, чынгыш баарыра",174000,15099720
3,100.0,"с. Арашан, чыгыш баатыра",143000,12409540
5,120.0,"Бишкек, Лебединовка",128000,11107840
7,170.0,"Чолпон-Ата, 21",80000,6942400
5,140.0,"Бишкек, Ак-Орго ж/м",130000,11281400
7,180.0,"Бишкек, Рухий Мурас ж/м",125000,10847500
7,94.0,"Джалал-Абад, Берикбаев Турусбек, 33",100000,8678000
7,252.0,"Бишкек, с. Аламудун, Алматинская",225000,19525500
