Количество комнат,Площадь (м²),Адрес,Цена ($),Цена (сом)
6,250,"Бишкек, с. Верхний Орок, Багорная",270 000,23 430 600
5,80,"Бишкек, Ак-Тилек ж/м, Чагая",116 000,10 066 480
7,223,с. Беш-Кунгей,145 000,12 583 100
3,97,с. Чок-Тал,155 000,13 450 900
6,189,"Бишкек, Ак-Ордо ж/м",189 000,16 401 420
3,85,"Бишкек, Джальская больница",230 000,19 959 400
5,110,"Бишкек, Восточный автовокзал, Абдыкадырова, 62",75 000,6 508 500
5,130,"Бишкек, Арча-Бешик ж/м, Кара-Кужур",176 000,15 273 280
6,174,"Бишкек, Рабочий Городок, Р. Люксембург, 48",270 000,23 430 600
5,75,"Бишкек, с. Маевка",130 000,11 281 400
7,261,"Бишкек, Ден Сяопина - Фучика, 6",130 000,11 281 400
7,172,"Бишкек, Ак-Ордо 3 ж/м",80 000,6 942 400
5,99,"Бишкек, Советская - Щербакова",68 500,5 944 430
7,282,"с. Новопокровка, Береговая, 23",200 000,17 356 000
6,150,с. Байтик,250 000,21 695 000
8,360,"Бишкек, с. Орто-Сай, Иманалиева, 186",200 000,17 356 000
7,220,"Бишкек, Арча-Бешик ж/м, Шербет",349 000,30 286 220
7,420,"Бишкек, Рухий Мурас ж/м",180 000,15 620 400
7,236.5,"Бишкек, Алматинка - Магистраль, майрам, 2",400 000,34 712 000
5,60,"Бишкек, Боталиева - Тулебердиева, Боталиева",150 000,13 017 000
7,320,Оренбург г.,100 000,8 678 000
6,120,"Бишкек, Рухий Мурас ж/м",165 000,14 318 700
6,330,"Бишкек, Полицейский городок м-н",198 500,17 225 830
6,160,"Бишкек, Лущихина - Льва Толстого",90 000,7 810 200
3,58,"Бишкек, с. Новопавловка",60 000,5 206 800
6,95,"Бишкек, Гагарина",130 000,11 281 400
3,100,"Бишкек, Рабочий Городок",130 000,11 281 400
3,61,"Бишкек, Ак-Ордо ж/м",58 500,5 076 630
5,78,"Бишкек, Рабочий Городок, Алтымышева, 80",140 000,12 149 200
6,160,"Бишкек, Ала-Тоо м-н",115 000,9 979 700
6,130,"Бишкек, Алтын-Ордо ж/м",207 000,17 963 460
6,400,с. Арашан,170 000,14 752 600
5,118,"Бишкек, Лебединовка",128 000,11 107 840
3,140,"Бишкек, Ахунбаева-Достоевского, Тынчтык",115 000,9 979 700
7,160,"Бишкек, Ак-Ордо ж/м, Асман",175 000,15 186 500
7,240,"Бишкек, Ак-Орго ж/м, Таттыбубу",295 000,25 600 100
6,110,"Бишкек, Токольдош ж/м, Лев толстой",152 000,13 190 560
5,90,"Бишкек, Чуй/Т.Айтматов",80 000,6 942 400
5,90,с. Кара Джыгач,70 000,6 074 600
7,165,Чолпон-Ата,190 000,16 488 200
3,80,с. Кара-Ой,57 000,4 946 460
3,130,"Бишкек, Ак-Ордо 3 ж/м",85 000,7 376 300
5,260,с. Бостери,350 000,30 373 000
5,88,"Бишкек, Киргизия 1 ж/м",185 000,16 054 300
6,140,"Бишкек, с. Новопавловка",120 000,10 413 600
5,74,"Бишкек, с. Новопавловка, Школьная, 1",115 000,9 979 700
5,120,"Бишкек, Учкун ж/м",140 000,12 149 200
5,85,"Бишкек, Западный автовокзал",88 000,7 636 640
6,190,"Бишкек, Кок-Жар ж/м, арстанбап, 238",210 000,18 223 800
3,60,"Бишкек, Кара-Жыгач ж/м, новая, 9",95 000,8 244 100
3,117,"Бишкек, Красный Строитель ж/м",68 000,5 901 040
5,60,"Бишкек, Красный Строитель ж/м",62 000,5 380 360
7,170,"Бишкек, Киргизия 1 ж/м, Кожомкулова",680 000,59 010 400
2,50,"Бишкек, с. Кок-Джар",153 000,13 277 340
6,130,"Бишкек, Старый толчок, молодая гвардия",140 000,12 149 200
7,190,"Бишкек, Баха",245 000,21 261 100
5,135.5,"Бишкек, с. Кок-Джар",251 000,21 781 780
3,100,"с. Арашан, чынгыш баарыра",174 000,15 099 720
3,100,"с. Арашан, чыгыш баатыра",143 000,12 409 540
5,120,"Бишкек, Лебединовка",128 000,11 107 840
7,170,"Чолпон-Ата, 21",80 000,6 942 400
5,140,"Бишкек, Ак-Орго ж/м",130 000,11 281 400
7,180,"Бишкек, Рухий Мурас ж/м",125 000,10 847 500
7,94,"Джалал-Абад, Берикбаев Турусбек, 33",100 000,8 678 000
7,252,"Бишкек, с. Аламудун, Алматинская",225 000,19 525 500
2,42,"Бишкек, БГУ",40 000,3 471 200
5,55,"Бишкек, Ала-Тоо м-н, Бештектир, 1",57 617,5 000 000
3,100,с. Кызыл-Суу,70 000,6 074 600
7,800,Турция,25 000 000,2 169 500 000
6,182,"Бишкек, Полицейский городок м-н, 8 улица",125 000,10 847 500
5,133,"Бишкек, Ак Кеме",275 000,23 864 500
3,100,"Бишкек, Старый толчок",75 000,6 508 500
5,162,"Бишкек, с. Чон-Арык",200 000,17 356 000
