Количество комнат,Площадь,Этаж,Полный адрес,Цена (доллары),Цена (сомы)
1,36 м2,2 этаж из 5,"Бишкек, Асанбай м-н",$ 62 500,5 418 125 сом
1,46 м2,1 этаж из 9,"Бишкек, 12 м-н",$ 59 500,5 158 055 сом
3,81.69 м2,14 этаж из 14,"Бишкек, Горького - Алма-Атинская, Горького",$ 72 000,6 241 680 сом
1,40 м2,6 этаж из 9,"Бишкек, Академия МВД",$ 50 000,4 334 500 сом
1,45 м2,2 этаж из 5,"Бишкек, Асанбай м-н",$ 63 000,5 461 470 сом
2,48 м2,3 этаж из 12,"Бишкек, Кара-Жыгач ж/м, Кара-жыгач",$ 67 000,5 808 230 сом
2,70 м2,5 этаж из 13,"Бишкек, Парк Панфилова/Спартак, Панфилова/Фрунзе",$ 125 000,10 836 250 сом
3,62 м2,8 этаж из 9,"Бишкек, 7 м-н",$ 110 000,9 535 900 сом
2,42 м2,2 этаж из 4,"Бишкек, Карпинка",$ 65 000,5 634 850 сом
2,80 м2,5 этаж из 12,"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",$ 91 310,7 915 664 сом
1,35 м2,3 этаж из 9,"Бишкек, Джал-29 м-н/Южная Магистраль",$ 57 900,5 019 351 сом
3,65 м2,10 этаж из 12,"Бишкек, ЖД вокзал, Чуйкова 125/Панфилова",$ 130 000,11 269 700 сом
2,76 м2,10 этаж из 10,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",$ 173 000,14 997 370 сом
1,53 м2,10 этаж из 14,"Бишкек, Магистраль, пр. Ч. Айтматова",$ 100 000,8 669 000 сом
3,92 м2,6 этаж из 9,"Бишкек, Баха, мкр Джал , ул. Курчатова 59 59/Ахунбаева",$ 128 000,11 096 320 сом
3,55 м2,1 этаж из 1,"Бишкек, Октябрьский район",$ 149 999,13 003 413 сом
5,129 м2,1 этаж из 1,"Бишкек, Октябрьский район",$ 212 212,18 396 658 сом
3,103 м2,12 этаж из 16,"Бишкек, Магистраль",$ 205 000,17 771 450 сом
1,41 м2,2 этаж из 7,"Бишкек, Филармония, Рыскулова/ Манаса/Манаса /Рыскулова",$ 69 500,6 024 955 сом
3,76 м2,4 этаж из 5,"Бишкек, Золотой квадрат, Эркиндик/Киевская",$ 155 000,13 436 950 сом
2,78 м2,7 этаж из 9,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",$ 82 000,7 108 580 сом
3,104 м2,5 этаж из 10,"Бишкек, Асанбай м-н, Токомбаева/Куттубаева",$ 157 590,13 661 477 сом
1,40 м2,9 этаж из 14,"Бишкек, Асанбай м-н",$ 51 500,4 464 535 сом
2,77 м2,11 этаж из 12,"Бишкек, Магистраль, БАЙТИК БААТЫРА/Южная Магистраль",$ 91 200,7 905 216 сом
2,78 м2,9 этаж из 10,"Бишкек, Арча-Бешик ж/м, Садырбаева/Абдрахманова",$ 98 000,8 494 640 сом
2,56 м2,4 этаж из 10,"Бишкек, Ден Сяопина - Фучика",$ 59 000,5 114 120 сом
2,60 м2,8 этаж из 10,"Бишкек, Магистраль, Куттубаева/Южн. Магистраль",$ 84 500,7 325 305 сом
2,78 м2,5 этаж из 14,"Бишкек, Магистраль, Сухэ Батора",$ 113 900,9 872 852 сом
3,54 м2,2 этаж из 2,"Бишкек, Пишпек ж/м",$ 60 000,5 201 400 сом
1,32 м2,4 этаж из 4,"Бишкек, 11 м-н",$ 58 000,5 028 020 сом
2,50 м2,3 этаж из 5,"Бишкек, Аламедин-1 м-н",$ 79 000,6 848 510 сом
2,62 м2,4 этаж из 4,"Ошская область, Ош, Гастелло 1а",$ 53 000,4 594 570 сом
3,120 м2,4 этаж из 10,"Бишкек, Магистраль, южная магистраль - пр.Ч. Айтматова",$ 200 000,17 338 000 сом
3,94 м2,3 этаж из 16,"Бишкек, Джальская больница, Ахунбвева",$ 107 000,9 275 830 сом
1,41 м2,13 этаж из 13,"Бишкек, Верхний Джал м-н",$ 57 000,4 941 330 сом
6,258.4 м2,16 этаж из 16,"Бишкек, Бишкек-Парк, Токтогула 165/Исанова",$ 387 600,33 601 044 сом
2,94 м2,2 этаж из 4,"с. Байтик, Раимбекова 24",$ 122 200,10 593 518 сом
1,32 м2,2 этаж из 5,"Бишкек, Карпинка, Суюнбаева 146/Огонбаева",$ 56 000,4 854 640 сом
2,54 м2,1 этаж из 3,"с. Таш-Добо, Больничная 71",$ 53 000,4 594 570 сом
1,45 м2,4 этаж из 12,"Бишкек, Карпинка, Суюнбаевеа/Чуй",$ 61 000,5 287 480 сом
2,38 м2,,"Бишкек, Лущихина - Льва Толстого",$ 41 700,3 614 973 сом
1,33 м2,12 этаж из 12,"Бишкек, Кок-Жар ж/м, Шабдан Баатыра 1313/Медерова",$ 51 000,4 421 190 сом
2,64 м2,8 этаж из 9,"Бишкек, Асанбай м-н",$ 95 000,8 235 550 сом
1,37 м2,5 этаж из 9,"Бишкек, Чуй - Алматинка, Гражданская 24",$ 46 250,4 009 413 сом
3,104 м2,9 этаж из 9,"Бишкек, Старый аэропорт, Ажыбек Баатыра стр. 2/1-2",$ 153 500,13 306 915 сом
5,153 м2,4 этаж из 14,"Бишкек, Магистраль, пр. Ч. Айтматова",$ 230 000,19 938 700 сом
